ID,Ville,Pays,Longitude,Latitude,Audio_URL,Transcription,Sexe,F1_Mean,F1_Amplitude,Avg_Temperature,Avg_Humidity,Temp_Extreme
1,Pieris,ItaliaNord,13.448098,45.811774,https://atlas.lisn.upsaclay.fr/sounds/Pieris.mp3,"Un zorno, co èreli drìo custionar de chi fùsselo quel più fort infra de èli, al neverìn e 'l sol i à vidù passar un por biadaz dut invultizà t'un gabanot. Lora i à distinà che 'l più fort al sarìe sta quel che 'l varìe rivà gavarghe par prin al tabar del dos. Al neverìn lorà l'à scomenzà sufiar a sbregabalon, ma tant più che 'l sufièva tant più al biadaz al se 'ngluzeva mei, cussì che a la fin quel por vent al à molà de strussiarse. Lora al sol l'à tacà a spiandorar fagando un caldonon e, drioman, al biadaz al s'à gavà al gabanot. Cussì al neverìn ghe à scugnù cognossar che 'l sol l'era tanton più fort de elo.",Homme,886.3072007257143,1409.0802240774076,11.002785763175906,79.42131416837782,0
2,Caraman,France,1.7583,43.5311,https://atlas.lisn.upsaclay.fr/sounds/Caraman.mp3,"La bisa e le sorelh se disputavan ; cadun assegurava qu'èra le pus fòrt, quand vegèron un voiatjur que s'avançava, envelopat dins son mantèl. Tombèron d'accòrdi qu'aquel qu'arribariá le prumièr a far quitar son mantèl al voiatjur sariá agachat coma le pus fòrt. Alavetz, la bisa se metèt a bufar a tota fòrça mes mai bufava, mai le voiatjur sarrava son mantèl sus el e a la fin, la bisa renoncièt a l'i far quitar. Alavetz le sorelh comencèt a brilhar e al cap d'un moment, le voiatjur, rescalfat, tirèt son mantèl. Atal, la bisa li calguèt reconéisser que le sorelh èra le pus fòrt dels dos.",Homme,502.20333777958933,481.4771772735215,14.349342915811087,75.8035318275154,0
3,Bois-de-Villers,Belgique,4.823933,50.39001,https://atlas.lisn.upsaclay.fr/sounds/Bois-de-Villers.mp3,"I gn-avéve mârgaye ètur li bîje èt l' solia, chakin assèrtinant qu'il èstéve li pus fwârt. Quand il ont vèyu on mârtchoteû qui s'avancè rèfaurdulé dins s' paletot. I-z-ont tcheû d'acôrd qui l' cia qu'arivéve li prumi à lî fé rôster s' paletot sèréve riwaiti comme li pus fwârt. Adon, li bîje s'a mètu à sofler di totes sès fwaces. Maîs pus èle sofléve, pus l' mârtchoteû sèréve si mantia autoû d' li. Po fini, li bîje ènn'a yeû s' sô dè lî fé rôster s' paletot. Adon, l' solia a c'mincî à tchaufer. Au d'bout d'on momint li mârtchoteû, tot rèstchaufé, a d'vu rôster s' mantia. Insi, li bîje a bin d'vu r'conèche qui l' solia èstéve branmint pus fwârt.",Femme,674.6749014673333,1160.4337556110463,10.65015742642026,82.43041067761807,0
4,Meilly-sur-Rouvres,France,4.562,47.206,https://atlas.lisn.upsaclay.fr/sounds/Meilly-sur-Rouvres.mp3,"Lai bise ai peûs le Sulô s'airgognínt. Als voulínt saivouèr qui qu'ç'ost qu'étot le pus costaud des deux, quand als vièrent eún vyègeûr que venot vés z'eux, tot enroûtè dans sai grande rouîllére. Als fiérent eún airríngement : Ç'tu-qute que ferot - le preumeir  rôtai son manteais â vyègeûr airot gâgnè ; al serot le pus fort ! Vouèqui qu'lai bise se metté ai sôffiai... sôffiai tant ai pus, mas pus elle sôffiot, pus le vyègeûr se sârrot dans son manteais âtôr de lu... Ai lai fén, lai bise se raivîyé, et ne cherché pus ai yi fâre rôtai ! Âssitôt, le Sulô qu'mencé ai qiairai... qiairai,.. si bin qu'â bout d'quéque temps, le vyègeûr  brâment réchauffè  rôté sai rouîllére. Du côp, lai bise fut bin obyigée d'eurconnâte que le Sulô étot le pus costaud des deux !",Homme,661.7244402563136,1463.3340379561091,11.040746064339494,80.17129363449692,0
5,Le Pont-de-Montvert,France,3.698455,44.343084,https://atlas.lisn.upsaclay.fr/sounds/Grizac.mp3,"graphie classiquegraphie mistralienneL'aura e lo sorelh se carcanhavan ; chacun se disiá lo pus fòrt, quand veguèron arribar un chaminaire avercolit sota son saile. Convenguèron que lo prumièr que li fariá tombar lo saile seriá reconegut coma lo pus fòrt. Adonc, l'aura se meteguèt a bofar per de bòn, mès d'ont mai bofava, d'ont mai lo chaminaire teniá son saile sarrat dels dos ponhs, tant ben qu'a la fin l'aura s'atedièt en vesent l'òme li téner tèsta. Adonc lo sorelh comencèt son òbra ; un moment après, lo chaminaire reschaufat quitèt son saile. Es coma aquò que l'aura veguèt dins lo sorelh lo pus fòrt dels dos. L'auro e lou sourel si carquignàbou ; chacun si disiò lou pu fort, quond beguèrou ariba un chaminaire abrecourit souto soun salgie. Coumbenguèrou que lou prumiò que li fariò toumba lou salgie seriò recounegut coumo lou pu fort. Adounc, l'auro si meteguèt à boufa per de buò, mè d'un-mai boufabo, d'un-mai lou chaminaire teniò soun salgie sarat des dous pouns, també qu'à la fi l'auro s'atedièt en besent l'ome li tene tèsto. Adounc lou sourel coumencèt soun obro ; un moumen après, lou chaminaire reschiaufat quitèt soun salgie. Es coumo acò que l'auro beguèt din lou sourel lou pu fort des dous.",Femme,632.7399357484974,1230.4404242806972,10.096557152635182,76.40242299794662,0
6,Les Hautes-Rivières,France,4.8428,49.8844,https://atlas.lisn.upsaclay.fr/sounds/Les_Hautes-Rivieres.mp3,"El vôt glacé d'ivêr èt l' soley ès disputint, tchècun soutnont qu'il ètat l' pus fônrt, quand il ant vû un voyadzeû qui s'avançat, mussî dos sa mantô. Il ètint d'acônrd qu'el ceû qui arivrat l' prëmî a fêre ertirer sa mantô au voyadzeû srat rwêtî coume el pus fônrt. Alônrs el vôt glacé d'ivêr s'è mis a choufler dè toute sa fônrce, mais pus i chouflat, pu l' voyadzeu sêrat sa mantô âtoûr dè lou ; èt a la fin, l' vôt glacé d'ivêr n'è mi pu lî fêre ertirer. Alônrs el soley è coumossî a briyî èt, ou dbout d'un momot, el voyadzeû, rètsâfé, è r'tiré sa mantô. Coume ça, el vôt glacé d'ivêr è du rcounwate qu'el soley ètat l' pus fônrt des deûs.",Homme,495.6860658382907,679.4633367490881,10.144277891854895,82.97253935660507,0
7,Lezay,France,-0.0084,46.2667,https://atlas.lisn.upsaclay.fr/sounds/Lezay.mp3,"La bise é le souléll se grénguenassiant, chaquin acertenant que l'étét le mae fort, quant que l'ant vu venir in voéyajhour, encatinai den sun manteau. Le se sant dit que çhàu-la qui le prmàe li ferét outàe sun manteau serét le mae fort. La bise at quemoençai a bufàe tant mae qu'a pevét, é mae qu'a bufét, mae que le voéyajhour s'encatinét den sun manteau. A la fine force, la bise at renunçai a li faere outàe. Alore le soulell at quemoençai a brticllàe e au bout d'in moument le voéyajhour, bén réchaufai, at outai sun manteau. A! la bise at bé du requeneùtre que le souléll étét le mae fort de zeùs deùs.",Femme,625.0964596047952,1311.0800866480258,13.030006844626968,78.220212183436,0
8,Verviers,Belgique,5.85,50.583333,https://atlas.lisn.upsaclay.fr/sounds/Verviers.mp3,"Lu bîhe èt lu solo su duspitît, chacôke assèrtinant èsse lu pus fwèrt, cwand il ont vèyou on voyèdjeûr qui s'avancéve, èwalpé è su mantê. I sont toumés d'acwèrd quu l'ci qu'ariv'reût lu prumî a fé bodjî s'mantê å voyèdjeûr sèreût loukî come lu pus fwêrt. Adon,lu bîhe s'a mètou a soflér du tot su pus fwêrt mais å pus'-èle sofléve, å pus' lu voyèdjeûr sèréve su mantê åtoûr du lu èt, a-l'fin, lu bîhe a runôci a lî fé wèstér. Adon lu solo a-st-ataké a ruglati èt après on moumint, lu voyèdjeûr, rèhandi a wèsté s'mantê. Ainsi,lu bîhe a d'vou ruc'noh' quu l'solo èsteût lu pus fwèrt du zèls deûs'.",Homme,625.1080224827326,1527.6007120227487,10.312929500342232,82.08999315537302,0
9,Agadir,Maroc,-9.6,30.433333,https://atlas.lisn.upsaclay.fr/sounds/berbere_tashlhiyt.mp3,"ⴰⴹⵓ ⴷ ⵜⴰⴼⵓⴽⵜ ⵎⵎⴰⵖⵏ ⴽⵔⴰⵢⴳⴰⵜⵜ ⵢⴰⵏ ⴳⵉⵜⵜⵙⵏ ⴰⵔ ⵉⵜⵜⵉⵏⵉ ⵎⴰⵙⴷⴷ ⵏⵜⵜⴰⵏ ⴰⴷⵉⵛⵇⵇⴰⵏ. ⴽⴽⵉⵏ ⵉⵎⵉⴽⴽ ⵥⵔⵏ ⵢⴰⵏ ⵓⵔⴳⴰⵣ ⴰⵔ ⵉⴼⵜⵜⵓ ⵉⵍⵙⴰ ⴰⵀⴷⴷⵓⵏ, ⴳⵏⵏ ⵜⴰⵖⵏⵏⴰⵏⵜ ⵏⴳⵔⴰⵜⵜⵙⵏ. ⵡⴰⴷ ⵏⵏⴰ ⵉⵣⴹⴰⵔⵏ ⴰⴷ ⴰⵙ ⵉⴽⴽⵙ ⴰⵀⴷⴷⵓⵏ ⵏⵜⵜⴰⵏ ⴰⴷ ⵉⵛⵇⵇⴰⵏ. ⵉⴱⴷⵓ ⵡⴰⴹⵓ ⴰⵔ ⵉⴽⴽⴰⵜ ⵙ ⴽⵓⵍⵍⵓ ⵎⴰⴷ ⴷⴰⵔⵙ ⵉⴳⴰⵏ ⵊⵊⵀⴷ, ⵎⴰⵛⵛ ⵖⵉⴽⵏⵏⴰ ⵙ ⴰ ⵉⴽⴽⴰⵜ ⴰⵔⵏⵏ ⴱⵣⵣⴰⴼ ⵉⵣⴷⴰⵢ ⵓⵔⴳⴰⵣ ⴷ ⵓⵀⴷⴷⵓⵏ ⵏⵙ. ⵉⵕⵎⵉ ⵡⴰⴹⵓ ⵓⵔ ⵉⵣⴹⴰⵔ ⴰⴷⴰⵙⵜ ⵉⴽⴽⵙ. ⵜⴱⴷⵓ ⵜⴰⴼⵓⴽⵜ ⴰⵔ ⵜⵙⵎⵉⵔⵇⵉⵢ, ⵉⴽⴽ ⵍⵃⴰⵍ ⵉⵎⵉⴽⴽ ⵙⵉⵖ ⵉⵔⵖⴰ ⵓⵔⴳⴰⵣ ⵉⴽⴽⵙ ⴰⵀⴷⴷⵓⵏ ⵏⵙ. ⵖⵉⵏⵏ ⴰⵖ ⵉⵙⵙⵏ ⵡⴰⴹⵓ ⵉⵣⴷ ⵜⴰⴼⵓⴽⵜ ⴰⴷ ⵉⵛⵇⵇⴰⵏ.",Homme,696.8412022202783,1468.4358321807454,22.082087611225187,47.73527036276523,0
12,Ighil,Maroc,-8.256526545277953,30.951635725363897,https://atlas.lisn.upsaclay.fr/sounds/Ighil.mp3,"ⵜⴰⴷ ⵢⴰⵜ ⵍⵇⵉⵚⵚⵜ ⵏ ⵜⴰⴼⵓⴽⵜ ⴷ ⵓⵚⵎⵎⵉⴹ, ⴽⵔⴰ ⵉⴳⴰⵜ ⵢⴰⵏ ⴰⵔ ⵉⵜⵜⵉⵏⵉ ⵏⴽⴽⵉⵏ ⴰ ⵉⵚⵃⴰⵏ. ⵎⵎⴰⵖⵏ ⴳⵔⴰⵜⵙⵏ ⵏⵏⴰⵏ ⵎⴰⵏ ⵡⴰⴷ ⴰ ⵉⵚⵃⴰⵏ, ⵎⴰⵏ ⵡⴰⴷ ⴰⵔⴰⴷ ⵉⵙⴱⴰⵏ ⵚⵚⴰⵃⵜ ⵏⵏⵙ. ⵉⵎⵉⴽⴽ ⵙⴷ ⵢⵓⵛⴽⴰ ⵢⴰⵏ ⵙⵙⵉⵢⴷ ⵉⵍⵙⴰⴷ ⴰⵀⴷⴷⵓⵏ, ⵏⵏⴰⵏ ⵖⵡⴰⴷ ⴰ ⵔⴰⵖ ⵉⴼⴽ ⵎⴰⵏ ⵡⴰⴷ ⴳⵉⵜⵏⵖ ⵉⵚⵃⴰⵏ. ⵉⵣⵡⵓⵔ ⵓⵚⵎⵎⵉⴹ ⴰⵔ ⵉⵟⵟⵍⵓⵇ ⵉ ⵓⵚⵎⵎⵉⴹ ⵏⵏⵙ, ⵉⵔⵓⵃⴷ ⵍⵅⵍⵇ ⵍⵍⵉ ⵏ ⵔⴱⴱⵉ, ⵍⵎⵓⵀⵉⵎ ⴽⴰ ⵉⴽⴽⴰ ⴰⵔⵜ ⵉⵜⵜⴰⵖ ⵓⵚⵎⵎⵉⴹ, ⴰⵔ ⵉⵙⵡⴰⴹ ⵓⵚⵎⵎⵉⴹ, ⴰⵔ ⵉⵜⵜⴳⴳⴰ ⵓⵀⴷⴷⵓⵏ ⵍⵍⵉ ⵙⵖ ⵉⴳⴳⵉ ⵏ ⵙⵙⵉⵢⴷ. ⵍⵅⵍⵇ ⵍⵍⵉ ⵏ ⵔⴱⴱⵉ ⴰⵔ ⵉⵟⵟⴰⵎⵥ ⴰⵀⴷⴷⵓⵏ, ⴰⵔ ⵉⵜⵜⵥⵉⵢⴰⵔ ⴰⵀⴷⴷⵓⵏ ⴼ ⵉⵅⴼ ⵏⵏⵙ; ⴰⵔ ⵉⵜⵜⵥⵉⵢⴰⵔ, ⴰⵔ ⵉⵜⵜⵥⵉⵢⴰⵔ, ⴰⵔ ⵉⵜⵜⴳⴳⴰ ⵓⵚⵎⵎⵉⴹ, ⴰⵔ ⵉⵜⵜⵥⵉⵢⴰⵔ ⵍⵅⵍⵇ ⵏ ⵔⴱⴱⵉ. ⴽⴰ ⵉⴽⴽⴰ ⴰⵔ ⵉⵜⵜⴳⴳⴰ ⵓⵚⵎⵎⵉⴹ ⴰⵔ ⵢⴰⴽⴽⴰ ⵚⵚⴰⵃⵜ ⵏⵏⵙ, ⵙⵙⵉⵢⴷ ⴰⵔⵏⵏ ⵉⵜⵜⴳⴳⴰ ⵚⵚⴰⵃⵜ ⵏⵏⵙ ⵓⵍⴰ ⵏⵜⵜⴰ ⴰⵔ ⵉⵟⵟⴰⵎⵥ ⴰⵀⴷⴷⵓⵏ ⴰⵢⵍⵍⵉ ⵖ ⵓⵔ ⵉⵙⵙⵓⴳⵔ ⵓⵚⵎⵎⵉⴹ ⵢⴰⵜ ⵉⴱⴰⵍⴰⴽ. ⵜⴰⵛⴽⵉⴷ ⵜⴰⴼⵓⴽⵜ ⵜⵏⵏⴰ ⵢⴰⵙ ⴱⴰⵍⴰⴽ ⴰⴷ ⵙⴱⴰⵢⵏⵖ ⵚⵚⴰⵃⵜ ⵉⵏⵓ, ⵜⴰⴼⵓⴽⵜ ⵟⵟⵍⵇ ⵉ ⵚⵚⵀⴷ ⵏⵙ, ⴽⴰ ⵉⴽⴽⴰ ⴰⵔ ⵟⵟⵍⵓⵇ ⵉ ⵚⵚⵀⴷ ⵙⵙⵉⵢⴷ ⵍⵍⵉ ⴰⵔ ⵉⵔⵇⵇⴰ, ⴽⴰ ⵉⴽⴽⴰ ⴰⵔ ⵉⵔⵇⵇⴰ ⵉⵚⴱⵔ ⴽⵉⴳⴰⵏ ⴰⵢⵍⵍⵉ ⵖⵜ ⵢⴰⵖ ⵍⵃⵎⴰ ⴱⵣⵣⴰⴼ, ⵢⴰⵖⵜ ⵍⵃⵎⴰ ⵙⴰⴼⵉ ⵉⵍⵓⵃ ⵏⵉⵜ ⴰⵀⴷⴷⵓⵏ. ⵖⵉⵏ ⴰⵖ ⵉⴱⴰⵏ ⵎⴰⵏⵡⴰ ⴳⵉⵜⵙⵏ ⵉⵚⵃⴰⵏ, ⵉⴱⴰⵏ ⵉⵣⴷ ⵜⴰⴼⵓⴽⵜ ⴰ ⵉⵚⵃⴰⵏ.",Homme,675.2984697388349,1369.3576483930876,16.727275838466802,44.10770020533881,0
